Year,GeoType,Borough,GeoID,BCT2020,Name,CDType,NTAType,Pop1,Male ,Fem,LandAcres
2020,CCD2023,,CnclDist51,,City Council District 51,,,169133,82002,87131,14889.84
2020,NTA2020,Brooklyn,BK0101,,Greenpoint,,0,38980,19165,19815,814.72
2020,NTA2020,Brooklyn,BK0102,,Williamsburg,,0,64444,31576,32868,658.29
2020,NTA2020,Brooklyn,BK0103,,South Williamsburg,,0,47703,24006,23697,349.16
2020,NTA2020,Brooklyn,BK0104,,East Williamsburg,,0,52998,25210,27788,1202.37
2020,NTA2020,Brooklyn,BK0201,,Brooklyn Heights,,0,25092,11956,13136,229.7
2020,NTA2020,Brooklyn,BK0202,,Downtown Brooklyn-DUMBO-Boerum Hill,,0,40968,19799,21169,544.97
2020,NTA2020,Brooklyn,BK0203,,Fort Greene,,0,32938,15259,17679,401.97
2020,NTA2020,Brooklyn,BK0204,,Clinton Hill,,0,28647,12743,15904,334.6
2020,NTA2020,Brooklyn,BK0261,,Brooklyn Navy Yard,,6,5,0,5,236.07
2020,NTA2020,Brooklyn,BK0301,,Bedford-Stuyvesant (West),,0,89189,41962,47227,847.32
2020,NTA2020,Brooklyn,BK0302,,Bedford-Stuyvesant (East),,0,84653,39043,45610,947.31
2020,NTA2020,Brooklyn,BK0401,,Bushwick (West),,0,58692,29211,29481,531.05
2020,NTA2020,Brooklyn,BK0402,,Bushwick (East),,0,62049,29828,32221,644.88
2020,NTA2020,Brooklyn,BK0471,,The Evergreens Cemetery,,7,6,3,3,124.75
2020,NTA2020,Brooklyn,BK0501,,Cypress Hills,,0,43256,21026,22230,559.5
2020,NTA2020,Brooklyn,BK0502,,East New York (North),,0,42818,19988,22830,640.88
2020,NTA2020,Brooklyn,BK0503,,East New York-New Lots,,0,53004,23951,29053,1066.84
2020,NTA2020,Brooklyn,BK0504,,Spring Creek-Starrett City,,0,17038,6666,10372,660.02
2020,NTA2020,Brooklyn,BK0505,,East New York-City Line,,0,45559,21343,24216,729.88
2020,NTA2020,Brooklyn,BK0571,,Highland Park-Cypress Hills Cemeteries (South),,7,7,5,2,185.73
2020,NTA2020,Brooklyn,BK0601,,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,,0,59166,27777,31389,1384.52
2020,NTA2020,Brooklyn,BK0602,,Park Slope,,0,57405,27011,30394,592.71
2020,NTA2020,Brooklyn,BK0701,,Windsor Terrace-South Slope,,0,23622,11101,12521,351.51
2020,NTA2020,Brooklyn,BK0702,,Sunset Park (West),,0,54473,28855,25618,1148.74
2020,NTA2020,Brooklyn,BK0703,,Sunset Park (Central),,0,55606,27930,27676,430.62
2020,NTA2020,Brooklyn,BK0771,,Green-Wood Cemetery,,7,5,4,1,484.67
2020,NTA2020,Brooklyn,BK0801,,Prospect Heights,,0,23515,10823,12692,236.54
2020,NTA2020,Brooklyn,BK0802,,Crown Heights (North),,0,85275,38239,47036,814.14
2020,NTA2020,Brooklyn,BK0891,,Lincoln Terrace Park,,9,15,6,9,27.24
2020,NTA2020,Brooklyn,BK0901,,Crown Heights (South),,0,50590,23201,27389,460.46
2020,NTA2020,Brooklyn,BK0902,,Prospect Lefferts Gardens-Wingate,,0,49513,22403,27110,551.89
2020,NTA2020,Brooklyn,BK1001,,Bay Ridge,,0,86779,41737,45042,1416.39
2020,NTA2020,Brooklyn,BK1002,,Dyker Heights,,0,46756,22855,23901,668.8
2020,NTA2020,Brooklyn,BK1061,,Fort Hamilton,,6,775,389,386,198.22
2020,NTA2020,Brooklyn,BK1091,,Dyker Beach Park,,9,9,5,4,228.06
2020,NTA2020,Brooklyn,BK1101,,Bensonhurst,,0,104934,51532,53402,1116.38
2020,NTA2020,Brooklyn,BK1102,,Bath Beach,,0,33070,16399,16671,473.01
2020,NTA2020,Brooklyn,BK1103,,Gravesend (West),,0,60523,29725,30798,776.46
