Year,GeogType,FIPSCode,BoroCode,GeogName,GeoID,Pop1,Male ,Fem,LandAcres
2020,CB2020,005,2,Bronx,20019021017,259,116,143,3.01
2020,CB2020,005,2,Bronx,20019021018,96,52,44,2.17
2020,CB2020,005,2,Bronx,20019021019,269,149,120,4.88
2020,CB2020,005,2,Bronx,20019021020,0,0,0,4.18
2020,CB2020,005,2,Bronx,20019021021,0,0,0,2.66
2020,CB2020,005,2,Bronx,20019021022,56,42,14,2.78
2020,CB2020,005,2,Bronx,20019021023,0,0,0,0.13
2020,CB2020,005,2,Bronx,20019021024,0,0,0,1.74
2020,CB2020,005,2,Bronx,20019021025,0,0,0,0.51
2020,CB2020,005,2,Bronx,20019021026,0,0,0,1.23
2020,CB2020,005,2,Bronx,20019021027,0,0,0,2.95
2020,CB2020,005,2,Bronx,20019021028,0,0,0,1.43
2020,CB2020,005,2,Bronx,20019021029,0,0,0,2.35
2020,CB2020,005,2,Bronx,20019021030,0,0,0,3.4
2020,CB2020,005,2,Bronx,20019021031,0,0,0,1.55
2020,CB2020,005,2,Bronx,20019021032,0,0,0,2.68
2020,CB2020,005,2,Bronx,20019021033,296,149,147,5.76
2020,CB2020,005,2,Bronx,20019021034,0,0,0,5.77
2020,CB2020,005,2,Bronx,20019021035,0,0,0,1.64
2020,CB2020,005,2,Bronx,20019021036,237,99,138,1.66
2020,CB2020,005,2,Bronx,20019021037,38,25,13,3.63
2020,CB2020,005,2,Bronx,20019021038,0,0,0,0.71
2020,CB2020,005,2,Bronx,20019021039,38,26,12,1.76
2020,CB2020,005,2,Bronx,20019021040,0,0,0,5.86
2020,CB2020,005,2,Bronx,20019021041,0,0,0,0.47
2020,CB2020,005,2,Bronx,20019021042,19,12,7,3.68
2020,CB2020,005,2,Bronx,20019021043,30,16,14,5.47
2020,CB2020,005,2,Bronx,20019021044,0,0,0,0.4
2020,CB2020,005,2,Bronx,20019021045,0,0,0,0.56
2020,CB2020,005,2,Bronx,20019021046,0,0,0,2.08
2020,CB2020,005,2,Bronx,20019021047,0,0,0,0.34
2020,CB2020,005,2,Bronx,20019021048,0,0,0,0.15
2020,CB2020,005,2,Bronx,20019021049,0,0,0,2.02
2020,CB2020,005,2,Bronx,20019021050,0,0,0,2.37
2020,CB2020,005,2,Bronx,20019021051,59,27,32,2.46
2020,CB2020,005,2,Bronx,20019031000,0,0,0,2.32
2020,CB2020,005,2,Bronx,20019031001,0,0,0,2.45
2020,CB2020,005,2,Bronx,20019031002,0,0,0,2.88
2020,CB2020,005,2,Bronx,20019031003,0,0,0,2.65
2020,CB2020,005,2,Bronx,20019031004,0,0,0,2.44
2020,CB2020,005,2,Bronx,20019031005,0,0,0,2.67
2020,CB2020,005,2,Bronx,20019031006,0,0,0,2.49
2020,CB2020,005,2,Bronx,20019031007,0,0,0,2.36
2020,CB2020,005,2,Bronx,20019031008,0,0,0,2.36
2020,CB2020,005,2,Bronx,20019031009,0,0,0,2.47
2020,CB2020,005,2,Bronx,20019031010,0,0,0,2.62
2020,CB2020,005,2,Bronx,20019031011,0,0,0,2.5
2020,CB2020,005,2,Bronx,20019031012,0,0,0,2.55
2020,CB2020,005,2,Bronx,20019031013,0,0,0,2.57
2020,CB2020,005,2,Bronx,20019031014,0,0,0,2.56
2020,CB2020,005,2,Bronx,20019031015,0,0,0,2.55
2020,CB2020,005,2,Bronx,20019032000,0,0,0,0.86
2020,CB2020,005,2,Bronx,20019032001,0,0,0,2.56
2020,CB2020,005,2,Bronx,20019032002,0,0,0,2.81
2020,CB2020,005,2,Bronx,20019032003,0,0,0,7
2020,CB2020,005,2,Bronx,20019032004,0,0,0,47.96
2020,CB2020,005,2,Bronx,20019032005,0,0,0,9.85
2020,CB2020,005,2,Bronx,20019032006,0,0,0,4.7
2020,CB2020,005,2,Bronx,20019032007,0,0,0,26.91
2020,CB2020,005,2,Bronx,20019032008,0,0,0,3.77
2020,CB2020,005,2,Bronx,20019032009,0,0,0,12.74
2020,CB2020,005,2,Bronx,20019032010,0,0,0,8.48
2020,CB2020,005,2,Bronx,20019032011,0,0,0,1.49
2020,CB2020,005,2,Bronx,20019032012,2,2,0,15.04
